"Censo Nacional de Poblacion, Hogares y Viviendas 2022",,,,,
"Cuadro 2. Total del país. Total de población y densidad, por superficie, según jurisdicción. Años 2010 y 2022",,,,,
Código,Jurisdicción,Superficie en km2,,,
,,,2022,,
,,,Población total,Densidad hab/km2,Peso
,Total,"3,669,711",45892285,12.5,1.0
2,Ciudad Autónoma de Buenos Aires,206,3121707.00,"15,161.3",0.1
6,Buenos Aires,"305,907",17523996,57.3,0.4
,24 Partidos del Gran Buenos Aires,"3,773",10849299,"2,875.3",
,"Resto de partidos de la Provincia
 de Buenos Aires","302,134",6674697,22.1,
10,Catamarca,"101,486",429562,4.2,0.01
22,Chaco,"99,763",1129606,11.3,0.02
26,Chubut,"224,302",592621,2.6,0.01
14,Córdoba,"164,708",3840905,23.3,0.08
18,Corrientes,"89,123",1212696,13.6,0.03
30,Entre Ríos,"78,384",1425578,18.2,0.03
34,Formosa,"75,488",607419,8.0,0.01
38,Jujuy,"53,244",811611,15.2,0.02
42,La Pampa,"143,493",361859,2.5,0.01
46,La Rioja,"91,494",383865,4.2,0.01
50,Mendoza,"149,069",2043540,13.7,0.04
54,Misiones,"29,911",1278873,42.8,0.03
58,Neuquén,"94,422",710814,7.5,0.02
62,Río Negro,"202,169",750768,3.7,0.02
66,Salta,"155,341",1441351,9.3,0.03
70,San Juan,"88,296",822853,9.3,0.02
74,San Luis,"75,347",542069,7.2,0.01
78,Santa Cruz,"244,458",337226,1.4,0.01
82,Santa Fe,"133,249",3544908,26.6,0.08
86,Santiago del Estero,"136,934",1060906,7.7,0.02
94,"Tierra del Fuego, Antártida e Islas
 del Atlántico Sur (1)(3)","910,324",185732,0.2,4
90,Tucumán,"22,592",1731820,76.7,0.04
